dataset,cities,pop_size,crossover_rate,mutation_rate,avg_length,std_length,avg_time
berlin52.tsp,52,50,0.6,0.1,8957.753418823972,322.80664819521934,0.5941626310348511
berlin52.tsp,52,50,0.6,0.2,8667.129616899048,314.0481814175729,0.6000117540359498
berlin52.tsp,52,50,0.6,0.3,8603.052377151145,184.58196596910858,0.598947811126709
berlin52.tsp,52,50,0.8,0.1,9171.382444443396,375.9767709989293,0.6440093278884887
berlin52.tsp,52,50,0.8,0.2,8538.191218034803,272.5808719213177,0.6474176168441772
berlin52.tsp,52,50,0.8,0.3,8516.474091255295,296.32627182273364,0.652595329284668
berlin52.tsp,52,50,1.0,0.1,8965.075915032989,396.4584372880522,0.701071810722351
berlin52.tsp,52,50,1.0,0.2,8558.048589520406,373.32653099713934,0.714606499671936
berlin52.tsp,52,50,1.0,0.3,8286.753556285727,279.30042388427046,0.7172558307647705
berlin52.tsp,52,100,0.6,0.1,8625.64384008283,378.86166877500966,1.5167842388153077
berlin52.tsp,52,100,0.6,0.2,8229.439004737005,209.92910544740283,1.7600688934326172
berlin52.tsp,52,100,0.6,0.3,8296.746910344345,149.80911000665702,1.361485767364502
berlin52.tsp,52,100,0.8,0.1,8536.026833469808,451.85002576930924,1.279868745803833
berlin52.tsp,52,100,0.8,0.2,8393.576646240255,304.7940979689463,1.2912672281265258
berlin52.tsp,52,100,0.8,0.3,8370.7020900612,273.9931486140246,1.2990756511688233
berlin52.tsp,52,100,1.0,0.1,8642.176826601626,358.0563885661429,1.3875439643859864
berlin52.tsp,52,100,1.0,0.2,8445.377958784266,244.57228710364632,1.3956064701080322
berlin52.tsp,52,100,1.0,0.3,8349.962120170017,366.98132070845725,1.4042157173156737
berlin52.tsp,52,200,0.6,0.1,8338.553178577811,130.94921834433745,2.3599368810653685
berlin52.tsp,52,200,0.6,0.2,8453.268304307767,201.39479771465793,2.376322841644287
berlin52.tsp,52,200,0.6,0.3,8328.728761547707,240.317890690208,2.392144560813904
berlin52.tsp,52,200,0.8,0.1,8236.259497373563,248.07316718834696,2.563583183288574
berlin52.tsp,52,200,0.8,0.2,8219.21663132912,139.65955887628124,2.5788681745529174
berlin52.tsp,52,200,0.8,0.3,8267.802178513375,213.92518287561077,2.5996533155441286
berlin52.tsp,52,200,1.0,0.1,8344.698367444307,135.0204171040059,2.789499807357788
berlin52.tsp,52,200,1.0,0.2,8162.834388895915,183.53215933627573,2.8058696031570434
berlin52.tsp,52,200,1.0,0.3,8207.101501271662,137.99770069710698,2.8409427404403687
